date,296---224---pool22-300-128,415---224---pool22-300-128,116---168---pool32-2600-3072,431---224---pool22-300-128,49---128---pool22-300-128,20---168---pool30-1800-2048,83---346---pool23-400-256,10---134---pool22-300-128
2016-07-01 00:00:00,10949.0,520.0,334.0,0.0,17.0,0.0,54.0,1.0
2016-07-01 00:05:00,17080.0,748.0,315.0,4.0,8.0,1.0,9.0,2.0
2016-07-01 00:10:00,28264.0,1777.0,347.0,534.0,8.0,5.0,16.0,9.0
2016-07-01 00:15:00,34482.0,971.0,297.0,121.0,9.0,1.0,21.0,17.0
2016-07-01 00:20:00,37851.0,2190.0,337.0,641.0,4.0,15.0,9.0,12.0
2016-07-01 00:25:00,33659.0,381.0,297.0,391.0,26.0,14.0,15.0,14.0
2016-07-01 00:30:00,37262.0,1678.0,412.0,231.0,18.0,1.0,13.0,10.0
2016-07-01 00:35:00,53642.0,2870.0,526.0,530.0,20.0,4.0,7.0,12.0
2016-07-01 00:40:00,56225.0,3005.0,492.0,319.0,18.0,9.0,11.0,18.0
2016-07-01 00:45:00,44406.0,2534.0,767.0,375.0,22.0,12.0,17.0,21.0
2016-07-01 00:50:00,44046.0,910.0,521.0,1267.0,19.0,3.0,13.0,16.0
2016-07-01 00:55:00,45310.0,1688.0,476.0,1337.0,15.0,13.0,15.0,8.0
2016-07-01 01:00:00,48022.0,1391.0,591.0,1343.0,11.0,8.0,49.0,15.0
2016-07-01 01:05:00,40626.0,2039.0,575.0,1314.0,15.0,3.0,11.0,25.0
2016-07-01 01:10:00,46328.0,5865.0,618.0,969.0,16.0,26.0,15.0,28.0
2016-07-01 01:15:00,45713.0,1937.0,590.0,1189.0,29.0,33.0,18.0,22.0
2016-07-01 01:20:00,48224.0,2301.0,692.0,1321.0,17.0,61.0,11.0,119.0
2016-07-01 01:25:00,48889.0,1037.0,618.0,607.0,15.0,42.0,13.0,248.0
2016-07-01 01:30:00,49674.0,4028.0,627.0,812.0,27.0,31.0,15.0,24.0
2016-07-01 01:35:00,42653.0,3208.0,578.0,121.0,10.0,63.0,13.0,16.0
2016-07-01 01:40:00,43995.0,4315.0,717.0,27.0,9.0,46.0,7.0,24.0
2016-07-01 01:45:00,45958.0,591.0,695.0,146.0,24.0,49.0,9.0,23.0
2016-07-01 01:50:00,46094.0,4280.0,752.0,431.0,29.0,17.0,13.0,30.0
2016-07-01 01:55:00,43993.0,2385.0,638.0,367.0,10.0,99.0,17.0,20.0
2016-07-01 02:00:00,51321.0,4426.0,807.0,1210.0,11.0,155.0,13.0,31.0
2016-07-01 02:05:00,35014.0,3252.0,728.0,599.0,23.0,82.0,16.0,30.0
2016-07-01 02:10:00,38767.0,3663.0,594.0,778.0,27.0,35.0,13.0,17.0
2016-07-01 02:15:00,33455.0,1420.0,556.0,637.0,16.0,133.0,12.0,24.0
2016-07-01 02:20:00,41475.0,2801.0,665.0,1182.0,11.0,169.0,7.0,35.0
2016-07-01 02:25:00,39563.0,1745.0,696.0,1217.0,19.0,36.0,15.0,30.0
2016-07-01 02:30:00,37905.0,4639.0,664.0,1109.0,32.0,34.0,11.0,38.0
2016-07-01 02:35:00,38335.0,2435.0,595.0,510.0,24.0,33.0,11.0,15.0
2016-07-01 02:40:00,31798.0,2490.0,641.0,576.0,21.0,47.0,14.0,34.0
2016-07-01 02:45:00,35511.0,1835.0,741.0,824.0,18.0,174.0,17.0,136.0
2016-07-01 02:50:00,36717.0,4898.0,822.0,910.0,15.0,195.0,7.0,155.0
2016-07-01 02:55:00,34987.0,3144.0,699.0,594.0,12.0,74.0,13.0,193.0
2016-07-01 03:00:00,29576.0,4172.0,716.0,1.0,20.0,67.0,15.0,51.0
2016-07-01 03:05:00,30973.0,3592.0,658.0,288.0,18.0,137.0,5.0,24.0
2016-07-01 03:10:00,33225.0,2133.0,636.0,133.0,14.0,270.0,9.0,18.0
2016-07-01 03:15:00,30271.0,2655.0,801.0,258.0,27.0,41.0,22.0,30.0
2016-07-01 03:20:00,37595.0,2241.0,695.0,1.0,24.0,40.0,11.0,45.0
2016-07-01 03:25:00,27824.0,2151.0,660.0,389.0,36.0,88.0,9.0,29.0
2016-07-01 03:30:00,25938.0,1097.0,637.0,56.0,32.0,189.0,9.0,30.0
2016-07-01 03:35:00,34045.0,791.0,615.0,2.0,36.0,101.0,11.0,40.0
2016-07-01 03:40:00,37200.0,2100.0,690.0,2.0,37.0,24.0,9.0,15.0
